x, y
1003.924303549651, 3870.815144903301
1028.6165270897172, 4073.3094032142308
1048.326986231349, 4093.226871244813
1069.000105160118, 4036.5928586123973
1099.2276224762225, 3890.129053296595
1123.4866491120772, 3757.345933092707
1148.612069556355, 3728.375070502768
1179.2824103745427, 3864.5381246754814
1197.9965166364877, 3925.1355122594377
1225.7211185060357, 3935.309803288047
1244.78178229135, 3879.0235559704506
1273.3727779693215, 3800.8022269776156
1299.3645922220228, 3798.9915480657446
1326.5693578065168, 3932.619651761839
1350.2342858308812, 4032.5691276971284
1367.636424325785, 4066.6098912403077
1386.870366872784, 4068.7827059345527
1405.9310306580983, 4060.881561591841
1424.9916944434126, 4049.0298450777755
1444.052358228727, 4049.0298450777755
1463.286300775726, 4056.4700893338277
1482.3469645610403, 4071.679792193546
1498.6351681593997, 4091.7179721515877
1522.8941947952544, 4121.292394378817
1553.7955739623549, 4179.837679195986
1573.1450356838102, 4223.293973080895
1599.3101286981962, 4298.618215814736
1623.395876572366, 4391.0835522476245
1649.3876908250675, 4496.102929136154
1676.2458988861922, 4632.105034072258
1695.5953606076478, 4673.549462499531
1715.3573908093044, 4614.0557268237635
1730.5399108807237, 4551.63041576687
1752.1997560913082, 4455.0608738004075
1772.415611621187, 4471.658763825893
1799.2738196823118, 4561.287369963517
1817.0967780270214, 4637.85322109407
1850.391054379291, 4740.5445822387655
1874.6500810151456, 4767.704765916833
1901.161731552901, 4893.003746618319
1926.1138732354943, 5153.741509927771
1949.1599485395561, 5443.128237353942
1963.0222494743302, 5654.937432733718
1975.1517627922574, 5836.005323920838
1999.4107894281121, 6096.74308723029
2027.4241892338011, 6301.953363909026
2049.661630316668, 6554.241292296412
2073.487460048311, 7081.75241528822
2080.8518074199096, 7286.359132329664
2085.1837764620263, 7400.431903777549
2095.5805021631068, 7772.224640348435
2114.641165948421, 8494.08196654775
2124.4602957772195, 8935.887621044323
2149.2969182853567, 9476.677056056518
2173.555944921211, 9254.567109533653
2199.5477591739123, 8544.298128370312
2206.4789096412997, 8332.327983753925
2210.8108786834164, 8193.509267177133
2225.539573426614, 7697.383245324425
2229.005148660307, 7581.4997949646695
2249.7986000624683, 6895.856047002777
2258.462538146702, 6603.733182554224
2274.0576266983226, 6047.492620827394
2280.9887771657095, 5901.189764748201
2291.3855028667904, 5671.83710257785
2299.183047142601, 5506.330115981427
2324.091540275839, 5486.4345785339365
2349.4338880311566, 5353.063143884419
2360.6970075406607, 4948.772657103953
2372.826520858588, 4527.488030275255
2392.92685721401, 3922.479849855359
2397.0855474944424, 3721.1323548552828
2404.8830917702526, 3565.413968434361
2410.9478484292167, 3467.637307193316
2423.077361747144, 3272.0839847112265
2449.935569808268, 2993.2394322830633
2460.332295509349, 2679.9919805293466
2465.5306583598895, 2544.191062139007
2473.3282026356997, 2289.4888952024585
2482.858534528357, 2011.8514620488759
2498.4536230799777, 1521.157476931783
2516.9944505802378, 1223.8439996025318
2524.945183326523, 1076.7958785799
2549.570857776957, 1548.3176606098496
